,reaction_id,chemical_composition,surface_composition,facet,sites,coverages,reactants,products,reaction_energy,activation_energy,dft_code,dft_functional,username,pub_id,atoms_name,atoms_id,doi,equation
0,339023,Ag12,Ag,111,{'H': 'bridge|A_A|A'},{'H': 0.25},"{'star': 1, 'H2gas': 0.5}",{'Hstar': 1},0.46221515144227965,,Quantum ESPRESSO 5.1,BEEF-vdW,winther@stanford.edu,MamunHighT2019,"['bulk', 'star', 'H2gas', 'Hstar']","['60c2a7dac5a3455aa3744fb8b173e986', 'c7d79f77e353a99e501913bf18194de1', '814573b47b611d09d6659e4b4132373c', 'b4713aec676303f434060c6ed79f392b']",10.1038/s41597-019-0080-z,0.5H2(g) + * -> H*
1,339024,Ag12,Ag,111,{'H': 'hollow|A_A_A|FCC'},{'H': 0.25},"{'star': 1, 'H2gas': 0.5}",{'Hstar': 1},0.33815532304382145,,Quantum ESPRESSO 5.1,BEEF-vdW,winther@stanford.edu,MamunHighT2019,"['bulk', 'star', 'H2gas', 'Hstar']","['60c2a7dac5a3455aa3744fb8b173e986', 'c7d79f77e353a99e501913bf18194de1', '814573b47b611d09d6659e4b4132373c', 'd1c7d644e7cb1400b211306b06cea447']",10.1038/s41597-019-0080-z,0.5H2(g) + * -> H*
2,339025,Ag12,Ag,111,{'H': 'hollow|A_A_A|HCP'},{'H': 0.25},"{'star': 1, 'H2gas': 0.5}",{'Hstar': 1},0.35534747534350686,,Quantum ESPRESSO 5.1,BEEF-vdW,winther@stanford.edu,MamunHighT2019,"['bulk', 'star', 'H2gas', 'Hstar']","['60c2a7dac5a3455aa3744fb8b173e986', 'c7d79f77e353a99e501913bf18194de1', '814573b47b611d09d6659e4b4132373c', '1e61329c80d51269f909af7327c214f8']",10.1038/s41597-019-0080-z,0.5H2(g) + * -> H*
3,339026,Ag12,Ag,111,{'H': 'top|A'},{'H': 0.25},"{'star': 1, 'H2gas': 0.5}",{'Hstar': 1},0.8448673457469624,,Quantum ESPRESSO 5.1,BEEF-vdW,winther@stanford.edu,MamunHighT2019,"['bulk', 'star', 'H2gas', 'Hstar']","['60c2a7dac5a3455aa3744fb8b173e986', 'c7d79f77e353a99e501913bf18194de1', '814573b47b611d09d6659e4b4132373c', 'e7ea059c17af1a639916d11d852539e0']",10.1038/s41597-019-0080-z,0.5H2(g) + * -> H*
4,339058,Au12,Au,111,{'H': 'bridge|A_A|A'},{'H': 0.25},"{'star': 1, 'H2gas': 0.5}",{'Hstar': 1},0.3959320299409512,,Quantum ESPRESSO 5.1,BEEF-vdW,winther@stanford.edu,MamunHighT2019,"['bulk', 'star', 'H2gas', 'Hstar']","['13314f179515a5feacb25f0e604786ec', '871452682940b2fef5a8c96bb8063158', '814573b47b611d09d6659e4b4132373c', 'd2b7dd1fb97adef63500c92c87f95a27']",10.1038/s41597-019-0080-z,0.5H2(g) + * -> H*
5,339059,Au12,Au,111,{'H': 'hollow|A_A_A|FCC'},{'H': 0.25},"{'star': 1, 'H2gas': 0.5}",{'Hstar': 1},0.32240319723953803,,Quantum ESPRESSO 5.1,BEEF-vdW,winther@stanford.edu,MamunHighT2019,"['bulk', 'star', 'H2gas', 'Hstar']","['13314f179515a5feacb25f0e604786ec', '871452682940b2fef5a8c96bb8063158', '814573b47b611d09d6659e4b4132373c', '932abee39c502a8de8d7da88047c050e']",10.1038/s41597-019-0080-z,0.5H2(g) + * -> H*
6,339060,Au12,Au,111,{'H': 'hollow|A_A_A|HCP'},{'H': 0.25},"{'star': 1, 'H2gas': 0.5}",{'Hstar': 1},0.3711066762416806,,Quantum ESPRESSO 5.1,BEEF-vdW,winther@stanford.edu,MamunHighT2019,"['bulk', 'star', 'H2gas', 'Hstar']","['13314f179515a5feacb25f0e604786ec', '871452682940b2fef5a8c96bb8063158', '814573b47b611d09d6659e4b4132373c', 'f8db4b1c4512fd3ab691004cb6ddfd3d']",10.1038/s41597-019-0080-z,0.5H2(g) + * -> H*
7,339061,Au12,Au,111,{'H': 'top|A'},{'H': 0.25},"{'star': 1, 'H2gas': 0.5}",{'Hstar': 1},0.5342481744419558,,Quantum ESPRESSO 5.1,BEEF-vdW,winther@stanford.edu,MamunHighT2019,"['bulk', 'star', 'H2gas', 'Hstar']","['13314f179515a5feacb25f0e604786ec', '871452682940b2fef5a8c96bb8063158', '814573b47b611d09d6659e4b4132373c', 'cab893aef629fa7353a82ea90496a44d']",10.1038/s41597-019-0080-z,0.5H2(g) + * -> H*
8,339090,Ga12,Ga,111,{'H': 'bridge|A_A|A'},{'H': 0.25},"{'star': 1, 'H2gas': 0.5}",{'Hstar': 1},0.6488109577412899,,Quantum ESPRESSO 5.1,BEEF-vdW,winther@stanford.edu,MamunHighT2019,"['bulk', 'star', 'H2gas', 'Hstar']","['d1e082583d8ff346bda4daf091460f74', '985aac00c457c9801b01b98873b24f9e', '814573b47b611d09d6659e4b4132373c', '6bde55a0d683d2cf1e62c170cd74c7c9']",10.1038/s41597-019-0080-z,0.5H2(g) + * -> H*
9,339091,Ga12,Ga,111,{'H': 'hollow|A_A_A|FCC'},{'H': 0.25},"{'star': 1, 'H2gas': 0.5}",{'Hstar': 1},0.6513263780443879,,Quantum ESPRESSO 5.1,BEEF-vdW,winther@stanford.edu,MamunHighT2019,"['bulk', 'star', 'H2gas', 'Hstar']","['d1e082583d8ff346bda4daf091460f74', '985aac00c457c9801b01b98873b24f9e', '814573b47b611d09d6659e4b4132373c', '16ffa45a9dd5d5524ee56a0d17deecaf']",10.1038/s41597-019-0080-z,0.5H2(g) + * -> H*
10,339092,Ga12,Ga,111,{'H': 'hollow|A_A_A|HCP'},{'H': 0.25},"{'star': 1, 'H2gas': 0.5}",{'Hstar': 1},0.8234530751442719,,Quantum ESPRESSO 5.1,BEEF-vdW,winther@stanford.edu,MamunHighT2019,"['bulk', 'star', 'H2gas', 'Hstar']","['d1e082583d8ff346bda4daf091460f74', '985aac00c457c9801b01b98873b24f9e', '814573b47b611d09d6659e4b4132373c', 'a107a62d9262e07d0c0a07778206740f']",10.1038/s41597-019-0080-z,0.5H2(g) + * -> H*
